"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C6,C7","105","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C2,C3,C4,C5","C104","~","Capacitor_SMD:C_0805_2012Metric","4",""
"J1","STM32_BOOT_Header_2x3","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J2","Conn_01x04_Male","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J3","STM32_Programming_Header_4","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"R1,R4,R13","10k","~","Resistor_SMD:R_0805_2012Metric","3",""
"R2,R3","100k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R5,R6,R7,R8,R9,R10,R11,R12","330R","~","Resistor_SMD:R_0805_2012Metric","8",""
"SW1,SW2","SW_Push","~","-- mixed values --","2",""
"U1","STM32F103C8Tx","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U2","1023","","1_DL:2xAAA_Battery_Holder_SMD","1",""
"U3","SW_DPDT_XLX","","1_DL:SW_DPDT_XLX","1",""
"U4","7_seg_5161AS_CC","","1_DL:7_Seg_5161AS","1",""
